"Geography","Population mid-2018 (millions)","Deaths per 1,000 Population","Total Fertility Rate"
"San Marino","0.03","8","1"
"Serbia","7","14","1.5"
"Slovenia","2.1","10","1.6"
"Spain","46.7","9","1.3"
"Australia","24.1","7","1.7"
"Federated States of Micronesia","0.1","6","3"
"Fiji","0.9","7","2.3"
"French Polynesia","0.3","5","1.8"
"Guam","0.2","6","3.2"
"Kiribati","0.1","7","3.8"
"Marshall Islands","0.06","4","4.1"
"Nauru","0.01","8","3.9"
"New Caledonia","0.3","6","2.1"
"New Zealand","4.9","7","1.8"
"Palau","0.02","10","2"
"Papua New Guinea","8.5","7","3.8"
"Samoa","0.2","4","3.8"
"Solomon Islands","0.7","5","3.8"
"Tonga","0.1","6","3.6"
"Tuvalu","0.01","9","3.6"
"Vanuatu","0.3","5","3.5"
