Rank,Country,Year,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Population mid-2018 (millions),"Births per 1,000 Population","Deaths per 1,000 Population",GNI per Capita PPP 2017,Infant Mortality Rate,Number of Records,Percent Urban,Total Fertility Rate
35th,Timor-Leste,1/1/2017,90.5,7.2,8.3,6.5,7.9,6.8,7.6,6.9,8.5,5.3,9.7,6.3,9.5,1.2,30,7,"6,330",30,1,31,4.2
36th,Egypt,1/1/2017,89.8,8.1,8.8,8.8,8.2,6,4.7,8.2,4.9,9.8,7.1,7.3,7.9,97,27,6,"11,360",15,1,43,3.4
37th,Gambia,1/1/2017,89.4,6.3,7.8,3.8,8.4,6.9,8.3,8.6,7.8,9.4,8.3,6.8,7,2.2,39,8,"1,670",46,1,61,5.4
38th,Sierra Leone,1/1/2017,89.3,4.3,7.8,6.2,8.6,8.3,8.5,6.9,8.8,5.3,9,7.7,7.9,7.7,33,13,"1,480",84,1,41,4.2
39th,Bangladesh,1/1/2017,89.1,7.6,9.3,8.7,5.8,6.7,7.8,7.8,8.1,7.4,7.5,6.6,5.8,166.4,19,5,"4,040",28,1,37,2.1
40th,Mozambique,1/1/2017,89,6.7,6.6,5.4,8,8.8,8,6.5,9.7,5.6,9.9,5.8,8,30.5,39,10,"1,200",65,1,32,5.3
41st,Djibouti,1/1/2017,88.9,6.5,7.3,6.5,7,7.9,5.4,8.2,7.9,7.8,8.4,7.3,8.7,1,23,8,---,52,1,78,2.9
42nd,Swaziland,1/1/2017,88.8,6.3,6.8,3.4,9.7,8.2,7.2,8.8,8.1,9.1,9.4,4.7,7.1,,,,,,1,,
43rd,Lebanon,1/1/2017,88.2,8.7,9.3,8.5,6.4,5.6,5,7.6,5.7,7.4,5.6,9.3,9.1,6.1,14,5,"14,690",7,1,89,1.7
44th,Burkina Faso,1/1/2017,88,8.4,7.8,4.5,6.3,8.2,7.5,7.1,8.7,6.1,9.3,6.6,7.5,20.3,40,9,"1,810",57,1,29,5.5
44th,Malawi,1/1/2017,88,4.8,8.1,5.6,8.4,8.3,7.9,6.4,8.6,6.2,9.7,5.8,8.2,19.1,34,7,"1,180",42,1,17,4.2
46th,Zambia,1/1/2017,87.8,4.6,6.2,5.9,7.9,9.2,7.9,7.7,7.9,7.4,9.5,6.4,7.2,17.7,39,8,"3,920",49,1,44,5.2
47th,Sri Lanka,1/1/2017,86.6,7.4,8.8,9,5.4,7.1,7.7,6.9,5.1,8.3,6.2,8.4,6.3,21.7,16,6,"12,470",7,1,19,2.1
48th,Papua New Guinea,1/1/2017,86.4,7.2,7.1,6.3,6.1,9.1,7.4,6.8,9,7.6,7.8,5.2,6.8,8.5,29,7,"4,040",46,1,13,3.8
49th,Iran,1/1/2017,85.8,7.5,9.6,9.3,6.4,5.6,6.5,9,4.5,9.5,4.9,6.5,6.5,81.6,19,5,"21,010",5,1,74,2
50th,Cambodia,1/1/2017,85.7,6.7,8.3,6.9,5.7,6.6,7.6,8.3,7.8,7.7,7,5.7,7.4,16,23,6,"3,760",24,1,23,2.6
51st,Equatorial Guinea,1/1/2017,85,6.5,8.2,6.3,6.5,8.7,5.5,9.8,7.9,9.2,7.5,3.9,5,1.3,34,10,"19,380",64,1,71,4.7
52nd,Comoros,1/1/2017,84.8,6.7,8,5.4,8,7.5,7.4,7.3,8.2,6.3,7.3,4.7,8,0.8,33,7,"1,570",55,1,29,4.3
52nd,Solomon Islands,1/1/2017,84.8,5.9,8.2,6.5,7.1,9,6.9,6.8,7.7,5.2,8.5,4.4,8.6,0.7,28,5,"2,270",25,1,24,3.8
54th,Philippines,1/1/2017,84.4,9.7,8,7.9,5.5,5.7,6.5,7,6.7,6.6,7.5,6.9,6.4,107,21,6,"10,030",21,1,47,2.7
55th,Madagascar,1/1/2017,84,7.1,7.8,4.1,7.6,9.1,6.7,7.1,9.1,5.6,9.1,3.9,6.8,26.3,32,6,"1,510",32,1,37,4.1
56th,Togo,1/1/2017,83.9,6.5,7.6,4.6,6.4,8.2,7.5,7.8,8.2,6.7,7.8,6.6,6,8,34,9,"1,620",52,1,42,4.5
57th,Guatemala,1/1/2017,83.1,7.6,7.1,8.5,5.5,8.1,7.3,6.5,7.5,7.2,7,5.6,5.2,17.2,24,5,"8,000",28,1,51,2.8
58th,Venezuela,1/1/2017,82.9,7.3,8.2,7.2,7.3,6.7,5.5,8.5,7.7,8.9,5.6,4.6,5.4,31.8,19,5,"17,440",12.5,1,88,2.4
59th,Laos,1/1/2017,82.4,5.5,8.3,6.6,5.2,6.6,7.7,9.1,7,7.9,7.3,5.1,6.1,7,24,7,"6,650",42,1,35,2.7
60th,Senegal,1/1/2017,82.3,6.2,6.6,6.4,7.4,7.4,8,4.7,7.5,6,8.1,7.3,6.7,16.3,33,6,"2,620",42,1,46,4.6
61st,Tajikistan,1/1/2017,81.8,6.7,8.4,7.4,7.3,4.8,6.2,9.1,5.6,8.2,7.9,4.3,5.9,9.1,33,5,"3,670",27,1,27,3.8
62nd,Lesotho,1/1/2017,81.7,6.2,7.3,3.9,8.1,8.1,8,5.9,8.1,5,8.5,4.8,7.8,2.3,29,13,"3,510",59,1,28,3.3
63rd,Uzbekistan,1/1/2017,81.5,7.1,8.8,7.1,6.3,6.9,6,9.5,4.9,9.2,5.6,5.5,4.6,32.9,22,5,"7,130",11,1,51,2.5
64th,Turkey,1/1/2017,80.8,8.3,9.1,10,4.6,5.7,3.9,7.6,4.4,7.7,4.9,9.2,5.4,81.3,16,5,"27,550",9,1,75,2.1
65th,Tanzania,1/1/2017,80.3,5.5,5.7,5.2,6.2,7.1,7.6,5.9,8.6,5.9,8.7,6.7,7.2,59.1,39,7,"2,916",43,1,34,5.2
65th,Kyrgyz Republic,1/1/2017,80.3,6.5,8,8.4,7,5.9,7,7.7,5.1,7.5,5.5,5.3,6.4,,,,,,1,,
67th,Russia,1/1/2017,79.2,8.9,8.1,8.8,5.2,6.2,4,8.5,4.2,9.2,4.6,5.8,5.7,147.3,12,12,"24,893",5.5,1,74,1.6
68th,Honduras,1/1/2017,79.1,7.3,6.8,5.9,6.4,7.7,6.4,6.8,6.8,6.9,6.3,4.3,7.5,9,22,5,"4,630",25,1,54,2.5
69th,Colombia,1/1/2017,78.9,6.9,7.6,7.3,4.2,7.6,6.2,6.3,5.9,7,6.2,7.7,6,49.8,15,6,"14,170",14,1,77,2
69th,Israel and West Bank,1/1/2017,78.9,6.9,8.1,10,3.8,6.8,3.8,6.4,4.8,7.5,6,7.3,7.5,,,,,,1,,
71st,Jordan,1/1/2017,78.7,5.7,6.9,8,6.4,5.4,4.2,6.3,4.2,7.9,6.5,9.6,7.6,10.2,24,3,"9,110",15,1,90,3.2
