Rank,Country,Year,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Population mid-2018 (millions),"Births per 1,000 Population","Deaths per 1,000 Population",GNI per Capita PPP 2017,Infant Mortality Rate,Number of Records,Percent Urban,Total Fertility Rate
148th,Mauritius,1/1/2017,41.7,2.3,3.2,3.6,4,3.5,4.4,3,3.3,3.4,3.6,2.7,4.7,1.3,11,8,"22,570",11.8,1,41,1.4
148th,Lithuania,1/1/2017,41.7,3.1,3,4.4,4.5,4.5,4.4,2.7,3.5,2.5,2.8,2.3,4,2.8,10,14,"31,030",4.5,1,67,1.6
150th,Chile,1/1/2017,41.1,3.2,2.2,3.6,3.2,5.7,3.8,3.3,4,3,4.9,2.1,2.1,18.6,14,6,"23,150",6.9,1,87,1.8
151st,Poland,1/1/2017,40.8,1.8,4.2,5.4,3.6,3,4.5,3.3,2.3,3.2,3,3.6,2.9,38.4,11,11,"28,170",4,1,60,1.4
152nd,Czech Republic,1/1/2017,40.1,2.6,5,4.8,4.6,2.7,2.8,4.7,2.6,2.4,1.4,3.8,2.7,,,,,,1,,
153rd,Malta,1/1/2017,38.6,3.6,2,3.9,4,2.6,3.7,3.6,2,3,2.5,4.4,3.3,0.5,10,7,"36,740",7.4,1,95,1.4
154th,South Korea,1/1/2017,38.1,2.1,4.3,2.9,2,3,3.9,4.4,1.9,2.9,3.1,2,5.6,,,,,,1,,
155th,Spain,1/1/2017,37.9,2.8,6.3,5.7,5.2,3.5,1.9,2.8,2.2,1.8,2,1.9,1.8,46.7,8,9,"38,090",2.8,1,80,1.3
156th,Japan,1/1/2017,37.4,1.6,2.6,3.7,4.1,1.6,3.2,1.2,2.2,3,6,4.4,3.8,126.5,8,11,"45,470",2,1,92,1.4
157th,Uruguay,1/1/2017,36.8,3.8,2.7,2.5,3.6,4.1,4.4,1,2.9,2.8,3.8,2.5,2.7,3.5,14,9,"21,870",11.5,1,95,2
158th,United States,1/1/2017,35.6,3.2,5.3,6,2.4,4.3,1.7,1.9,1.6,3.2,2.8,2,1.2,328,12,9,"60,200",5.6,1,82,1.8
159th,France,1/1/2017,33.5,3.3,1.9,7,4.3,3.2,2.2,1.3,1.1,2.1,2.8,2.5,1.8,65.1,11,9,"43,720",3.6,1,80,1.9
160th,United Kingdom,1/1/2017,33.2,2.7,4.5,6.4,3.6,3.6,2.1,1.5,1.6,1.7,2.4,2.1,1,66.4,12,9,"43,160",3.9,1,83,1.8
161st,Singapore,1/1/2017,32.5,1.6,4,2.6,2,3.8,3.3,3.9,1.3,4.6,2.5,1.7,1.2,5.8,9,5,"90,570",2.2,1,100,1.2
162nd,Slovenia,1/1/2017,32.4,1.6,1.7,4.5,3.8,3.4,3.1,2.7,1.5,1.5,2.3,4,2.3,2.1,10,10,"33,910",1.8,1,55,1.6
163rd,Belgium,1/1/2017,30.8,2.4,4.4,4.9,4.2,2.7,1.6,1.4,2.3,1.5,2,2.4,1,11.4,10,10,"47,960",3.3,1,98,1.6
164th,Portugal,1/1/2017,29,1.3,2.5,2.5,5.3,2.5,2.2,1.6,2.2,1.8,2.1,2.2,2.8,10.3,8,11,"31,490",2.6,1,65,1.4
165th,Germany,1/1/2017,28.1,2.1,2.3,5,2.2,2.8,2.1,1,1.1,1.1,2,5.4,1,82.8,9,11,"51,760",3.3,1,77,1.6
166th,Austria,1/1/2017,27.7,1,3.2,4.5,2.2,2.9,1.5,1.4,1.1,1.2,1.9,5.6,1.2,8.8,10,9,"52,660",2.9,1,58,1.5
167th,Netherlands,1/1/2017,27.4,1.5,3.1,4.5,2.7,2.2,2.6,1.3,1,1,2.5,3.8,1.2,17.2,10,9,"52,640",3.5,1,92,1.6
168th,Luxembourg,1/1/2017,23.4,1.7,3.4,3.1,1.2,1.6,2.1,1,2.1,1,1.6,3.5,1.1,0.6,10,7,"72,640",3.3,1,91,1.4
170th,New Zealand,1/1/2017,22.6,1.2,1.4,3.6,3.6,2.3,2.1,0.9,1.4,1,2.1,1.8,1.2,4.9,12,7,"39,560",3.9,1,86,1.8
169th,Canada,1/1/2017,22.6,2.2,2.5,3.4,1.8,2.5,1.7,1,1.5,1.3,1.9,1.8,1,37.2,11,8,"45,750",4.5,1,81,1.5
171st,Iceland,1/1/2017,22.5,1,1.8,1.3,3.3,1.1,2.8,1.3,1.2,1,1.6,2,4.1,0.4,12,7,"53,640",2.7,1,94,1.7
172nd,Ireland,1/1/2017,22.3,2.1,1.5,1.4,3.4,2.2,2.8,1,1.4,1.4,1.7,2,1.4,4.9,13,6,"62,440",2.8,1,63,1.8
172nd,Australia,1/1/2017,22.3,2.1,1.7,3.9,1.7,2.2,1.3,1,1.5,2.3,1.3,2.3,1,24.1,13,7,"45,780",3.4,1,86,1.7
174th,Sweden,1/1/2017,22.1,2.1,1.8,1.5,1.8,1.8,1.5,1,1.1,1.1,2,5.3,1.1,10.2,11,9,"50,840",2.5,1,87,1.8
175th,Denmark,1/1/2017,21.5,1.7,1.4,4.4,2,1.6,1.9,0.9,1,1.5,2,2.1,1,5.8,11,9,"51,560",3.8,1,88,1.8
176th,Switzerland,1/1/2017,21.1,1.1,1,3.6,2.3,2.2,2.1,1,1,1.8,1.5,2.5,1,8.5,10,8,"65,910",3.5,1,85,1.5
177th,Norway,1/1/2017,20.5,2,1.1,3.6,2.2,1.5,1.6,0.8,1,1.1,1.5,2.8,1.3,5.3,11,8,"63,530",2.3,1,81,1.6
178th,Finland,1/1/2017,18.7,1.7,1.1,1.8,3.5,1,2.3,0.9,1,1,1.1,2.3,1,5.5,9,10,"45,730",2,1,71,1.5
