Exports and imports (% of GDP),,,,,,
119," Palestine, State of",73.8,,77.9,,74.5
66, Panama,119.1,,99.7,,87.3
153, Papua New Guinea,,,,,
110, Paraguay,88.1,,83.8,,81.3
89, Peru,46.8,,45.1,,45.3
113, Philippines,61.5,,62.7,,64.9
33, Poland,93.7,,95.9,,100.5
41, Portugal,80,,80.2,,79.1
37, Qatar,99,,92.1,,89.1
52, Romania,82.8,,82.6,,83.6
49, Russian Federation,47.7,,49.2,,46.2
158, Rwanda,47.6,,52.5,,48
72, Saint Kitts and Nevis,122.7,,119.5,,113.5
99, Saint Vincent and the Grenadines,82.4,,91.3,,91.3
104, Samoa,80.3,,76.2,,79.2
39, Saudi Arabia,80.6,,72.1,,61.9
164, Senegal,75.4,,75.7,,72.9
67, Serbia,97.6,,103.1,,107.5
62, Seychelles,192,,,,
184, Sierra Leone,83.2,,66.8,,79.4
9, Singapore,359.3,,329,,310.3
38, Slovakia,180.3,,184.3,,185.7
25, Slovenia,144.2,,145.4,,146.2
152, Solomon Islands,112,,98.4,,
n.a, Somalia,73.8,,76.5,,77.3
113, South Africa,64.4,,61.6,,60.8
187, South Sudan,65.7,,49.9,,116.7
26, Spain,63,,63.6,,62.9
76, Sri Lanka,50.3,,49.6,,50
167, Sudan,19.5,,19.1,,22.4
100, Suriname,97.9,,94.4,,104.1
7, Sweden,85.8,,86.2,,83.7
2, Switzerland,116.9,,112.8,,120.4
155, Syrian Arab Republic,,,,,
127, Tajikistan,53.9,,52.8,,56
154, Tanzania (United Republic of),49.2,,46.4,,42.3
83, Thailand,131.8,,125.9,,121.7
80, The former Yugoslav Republic of Macedonia,112.5,,113.8,,114.7
132, Timor-Leste,29.8,,30.8,,39.3
165, Togo,107.4,,109.8,,105.6
98, Tonga,74.2,,81.7,,89.4
95, Tunisia,102.2,,92.3,,91.4
64, Turkey,51.4,,49.3,,46.8
108, Turkmenistan,,,,,
162, Uganda,46.3,,47.7,,47.2
88, Ukraine,100.7,,107.1,,104.8
34, United Arab Emirates,168.1,,175.2,,176.7
14, United Kingdom,58.5,,56.5,,58.6
13, United States,30.2,,27.9,,26.6
55, Uruguay,49.1,,45.3,,41.3
105, Uzbekistan,50.2,,40.9,,39.6
138, Vanuatu,97.9,,,,
78, Venezuela (Bolivarian Republic of),48.1,,,,
116, Viet Nam,169.5,,178.8,,184.7
178, Yemen,49.8,,35.6,,33.5
144, Zambia,80.1,,79.9,,74
156, Zimbabwe,67.1,,69.5,,63.3
