"Mortality rate, infant (per 1,000 live births)",,,,,,
104, Samoa,15.5,,15.2,,14.8
n.a, San Marino,2.6,,2.6,,2.5
143, Sao Tome and Principe,28.1,,27.1,,26.2
39, Saudi Arabia,11.9,,11.4,,11.1
164, Senegal,36.2,,34.8,,33.6
67, Serbia,5.8,,5.4,,5.1
62, Seychelles,12.6,,12.5,,12.3
184, Sierra Leone,89.4,,86.2,,83.3
9, Singapore,2.1,,2.1,,2.2
38, Slovakia,5.2,,5,,4.9
25, Slovenia,2,,1.9,,1.8
152, Solomon Islands,22.6,,22.2,,21.8
n.a, Somalia,87.2,,85,,82.6
113, South Africa,35.6,,35.5,,34.2
187, South Sudan,62.7,,61,,59.2
26, Spain,2.8,,2.8,,2.7
76, Sri Lanka,8.5,,8.3,,8
167, Sudan,46.9,,45.9,,44.8
100, Suriname,19,,18.4,,17.8
7, Sweden,2.4,,2.4,,2.4
2, Switzerland,3.7,,3.6,,3.6
155, Syrian Arab Republic,14.3,,14.2,,14.2
127, Tajikistan,39.5,,38.3,,37.1
154, Tanzania (United Republic of),42.6,,41.5,,40.3
83, Thailand,11.2,,10.8,,10.5
80, The former Yugoslav Republic of Macedonia,10.1,,10.5,,10.7
132, Timor-Leste,45.4,,43.9,,42.4
165, Togo,53.4,,52.1,,50.7
98, Tonga,14.7,,14.4,,14.1
69, Trinidad and Tobago,17.7,,17,,16.5
95, Tunisia,12.5,,12.1,,11.7
64, Turkey,12.5,,11.7,,10.9
108, Turkmenistan,46.1,,44.7,,43.4
n.a, Tuvalu,22.7,,22.1,,21.4
162, Uganda,41,,39.2,,37.7
88, Ukraine,8.4,,8.1,,7.8
34, United Arab Emirates,6.8,,6.7,,6.6
14, United Kingdom,3.8,,3.7,,3.7
13, United States,5.8,,5.7,,5.6
55, Uruguay,8.1,,8,,7.9
105, Uzbekistan,24.5,,22.9,,21.4
138, Vanuatu,24,,23.6,,23.1
78, Venezuela (Bolivarian Republic of),14.5,,14.3,,14
116, Viet Nam,17.8,,17.6,,17.3
178, Yemen,43.2,,43.2,,43.2
144, Zambia,47.5,,44.8,,43.8
156, Zimbabwe,44.4,,42,,40
